,0
1414,No tiene datos
1415,No tiene datos
1416,No tiene datos
1417,No tiene datos
1418,No tiene datos
1419,No tiene datos
1420,No tiene datos
1421,No tiene datos
1422,78
1423,No tiene datos
1424,No tiene datos
1425,No tiene datos
1426,No tiene datos
1427,83
1428,No tiene datos
1429,32
1430,39
1431,No tiene datos
1432,No tiene datos
1433,No tiene datos
1434,No tiene datos
1435,42
1436,No tiene datos
1437,No tiene datos
1438,48
1439,No tiene datos
1440,35
1441,37
1442,68
1443,No tiene datos
1444,No tiene datos
1445,No tiene datos
1446,No tiene datos
1447,No tiene datos
1448,No tiene datos
1449,71
1450,48
1451,No tiene datos
1452,No tiene datos
1453,No tiene datos
1454,No tiene datos
1455,80
1456,89
1457,No tiene datos
1458,42
1459,No tiene datos
1460,46
1461,58
1462,20
1463,73
1464,87
1465,33
1466,No tiene datos
1467,No tiene datos
1468,No tiene datos
1469,86
1470,27
1471,No tiene datos
1472,No tiene datos
1473,No tiene datos
1474,No tiene datos
1475,No tiene datos
1476,No tiene datos
1477,No tiene datos
1478,38
1479,No tiene datos
1480,26
1481,No tiene datos
1482,No tiene datos
1483,No tiene datos
1484,No tiene datos
1485,No tiene datos
1486,No tiene datos
1487,No tiene datos
1488,No tiene datos
1489,56
1490,73
1491,No tiene datos
1492,No tiene datos
1493,No tiene datos
1494,No tiene datos
1495,No tiene datos
1496,No tiene datos
1497,No tiene datos
1498,No tiene datos
1499,No tiene datos
1500,No tiene datos
1501,No tiene datos
1502,No tiene datos
1503,No tiene datos
1504,No tiene datos
1505,No tiene datos
1506,No tiene datos
1507,No tiene datos
1508,49
1509,37
1510,No tiene datos
1511,No tiene datos
1512,No tiene datos
1513,75
1514,No tiene datos
1515,No tiene datos
1516,No tiene datos
1517,No tiene datos
1518,No tiene datos
1519,No tiene datos
1520,No tiene datos
1521,No tiene datos
1522,No tiene datos
1523,41
1524,41
1525,69
1526,No tiene datos
1527,39
1528,97
1529,71
1530,No tiene datos
1531,No tiene datos
1532,0
1533,67
1534,No tiene datos
1535,No tiene datos
1536,71
1537,No tiene datos
1538,No tiene datos
1539,No tiene datos
1540,No tiene datos
1541,No tiene datos
1542,No tiene datos
1543,No tiene datos
1544,44
1545,No tiene datos
1546,39
1547,No tiene datos
1548,No tiene datos
1549,No tiene datos
1550,No tiene datos
1551,No tiene datos
1552,No tiene datos
1553,17
1554,21
1555,43
1556,No tiene datos
1557,No tiene datos
1558,7
1559,61
1560,No tiene datos
1561,No tiene datos
1562,No tiene datos
1563,50
1564,35
1565,No tiene datos
1566,No tiene datos
1567,No tiene datos
1568,No tiene datos
1569,No tiene datos
1570,No tiene datos
1571,No tiene datos
1572,No tiene datos
1573,No tiene datos
1574,No tiene datos
1575,40
1576,No tiene datos
1577,No tiene datos
1578,No tiene datos
1579,No tiene datos
1580,No tiene datos
1581,No tiene datos
1582,No tiene datos
1583,No tiene datos
1584,No tiene datos
1585,26
1586,No tiene datos
1587,No tiene datos
1588,No tiene datos
1589,No tiene datos
1590,No tiene datos
1591,No tiene datos
1592,No tiene datos
1593,No tiene datos
1594,No tiene datos
1595,36
1596,No tiene datos
1597,No tiene datos
1598,No tiene datos
1599,84
1600,No tiene datos
1601,No tiene datos
1602,No tiene datos
1603,95
1604,60
1605,No tiene datos
1606,No tiene datos
1607,No tiene datos
1608,12
1609,67
1610,No tiene datos
1611,13
1612,No tiene datos
1613,No tiene datos
1614,No tiene datos
1615,No tiene datos
1616,73
1617,No tiene datos
1618,No tiene datos
1619,20
1620,No tiene datos
1621,No tiene datos
1622,No tiene datos
1623,67
1624,No tiene datos
1625,No tiene datos
1626,No tiene datos
1627,28
1628,29
1629,No tiene datos
1630,No tiene datos
1631,No tiene datos
1632,26
1633,No tiene datos
1634,No tiene datos
1635,No tiene datos
1636,54
1637,15
1638,No tiene datos
1639,85
1640,27
1641,No tiene datos
1642,No tiene datos
1643,41
1644,No tiene datos
1645,No tiene datos
1646,6
1647,No tiene datos
1648,No tiene datos
1649,No tiene datos
1650,No tiene datos
1651,No tiene datos
1652,No tiene datos
1653,No tiene datos
1654,No tiene datos
1655,No tiene datos
1656,No tiene datos
1657,No tiene datos
1658,9
1659,No tiene datos
1660,71
1661,No tiene datos
1662,No tiene datos
